,AAo_max_area,AAo_min_area,AAo_distensibility,DAo_max_area,DAo_min_area,DAo_distensibility,LAEF,RAEF,Ell_Global,Ecc_Global,Err_Global,LVEF,LVCO,RVEF,WT_Global,WT_Max_Global,age_at_MRI,Sex,Weight_at_MRI,Height,BMI,BSA,SBP_at_MRI,circum_PDSR,longit_PDSR,radial_PDSR,LVEDVi,LVESVi,LVMi,RVEDVi,RVESVi,RVSVi,LVSVi,RAV_mini,RAV_maxi,LASVi,LAV_mini,LAV_maxi,RASVi,chol_p30690_i0,creat_p30700_i0,HbA1c_p30750_i0,HDL_p30760_i0,LDL_p30780_i0
Err_Global,-0.09378753872350956,-0.08067074394228105,-0.09123654926421985,-0.15895420711663685,-0.15312897650114565,-0.0680353834182541,0.2542004120795562,0.2848068236319607,-0.4432064518824945,-0.7424765890052646,1.0,0.6416964030217068,0.09276686453162843,0.5371767570138821,-0.11951152585845431,-0.0578952080050369,0.11108067818638284,-0.31602723860497534,-0.16360568077891097,-0.2815177878623912,-0.010911619934925905,-0.20698912210645468,-0.018283237618409443,0.32435479422929087,0.20246612087211477,-0.4672350060179366,-0.2783936028977758,-0.5450583541968661,-0.24303052834724445,-0.16500107344781745,-0.4090389934494259,0.1422440746181211,0.09866787279302941,-0.22637786301676804,-0.1098153506863444,0.15729741737167263,-0.1683585466232252,-0.03916617412982068,0.09684659623341846,0.0826750089317298,-0.2090368992504353,0.008627729469261427,0.1702890076613272,0.037982807538380514
LVEF,-0.1421412548521655,-0.1414162282475916,-0.020720494267628262,-0.20006933143948236,-0.20811216500271365,0.00021702580373383912,0.2557331485892557,0.24219089641035563,-0.45486680971935173,-0.7432152962641644,0.6416964030217068,1.0,0.2287029955390439,0.5887466935711523,-0.24752459154177528,-0.14029644488288723,0.010735998534878131,-0.27501830206914535,-0.16278561090450785,-0.24892690451500554,-0.032552830180682814,-0.19872445884847936,-0.046462805320000244,0.4014892469440332,0.29442521649698905,-0.40877781658453305,-0.24453526744223453,-0.7306855763678153,-0.2773795308362255,-0.16409296622857353,-0.4345907386718729,0.1702863400491279,0.34665287318800153,-0.21671071204570314,-0.12089536712442363,0.155672517526705,-0.17951712327398398,-0.047813416240581164,0.06139384820446441,0.07822299016750216,-0.16811023007079554,-0.02100624008026308,0.13693096009136008,0.04349727178022775
LVCO,0.2793086210239844,0.2573549600942191,-0.002234937577554041,0.3431499617396749,0.329474495590701,-0.035151714236886906,0.1237716538004161,0.09553323128490815,-0.020367588816625908,0.016248939401869066,0.09276686453162843,0.2287029955390439,1.0,0.11068256979617758,0.3099609069916625,0.27680320905447753,-0.11279941953518696,0.3584880195766963,0.4695477335563742,0.4197371048720958,0.2918741612082935,0.4969449918970074,0.10303719581835177,-0.24572214228969577,-0.14796890371394172,0.1469641477246872,0.40277185762353646,0.14069946520330653,0.4127907411775085,0.32256186252069596,0.1709307010569008,0.37374322063015347,0.5258746499777331,0.011554687811829395,0.07174288075262694,0.2563251547792765,0.027925991267680982,0.1483139104629228,0.12640383763282895,-0.0551081010231586,0.1761523889123228,0.006552291263347607,-0.19706889290997068,-0.009216466827624684
RVEF,-0.17878371726491743,-0.17146805789569483,-0.059264159965368705,-0.21198185023796193,-0.2141500497196475,-0.042460470177782414,0.24998201654123578,0.22670921884691897,-0.38766077574703556,-0.5783777365380979,0.5371767570138821,0.5887466935711523,0.11068256979617758,1.0,-0.2580109875907639,-0.19926320077826162,0.023267114486692976,-0.32408798675647493,-0.20731889442090012,-0.28051468043067307,-0.0667382744202512,-0.24431596930508537,-0.025945282379047543,0.29002859078188464,0.20835596423884015,-0.2922627421336106,-0.1692099635237015,-0.43784492528446756,-0.25221173223602444,-0.21637605565401544,-0.6935475783508721,0.34946095201239774,0.16993735249678718,-0.25496164827475204,-0.17818149171906741,0.2339970641803288,-0.1416259264047743,0.018110095083244657,0.0008391620094654058,0.07906373911346481,-0.2063312808705858,-0.02311145134717842,0.1679194049737993,0.035943430825395944
WT_Global,0.3836158582866488,0.37357896752186454,-0.05792930352675724,0.5025741315088527,0.4992514395446121,-0.08347705321650467,-0.17191462180881598,-0.18896414596103958,0.23678005246133743,0.2225563637854004,-0.11951152585845431,-0.24752459154177528,0.3099609069916625,-0.2580109875907639,1.0,0.7741681052934036,0.08953640992070681,0.6330489507017387,0.621663428915935,0.5166075165020653,0.4090320838042288,0.6519284127786321,0.16804985007445475,-0.3029539852933342,-0.23107104968892997,0.20443920977590843,0.15984691650117916,0.2513089364733405,0.7689893320839282,0.22183362710733742,0.29925587099138273,0.06864929441175617,0.006972366890713457,0.11310345331340922,0.024343764108630327,-0.09149793783920396,0.12019473347549317,0.03840659823816793,-0.10900258044393857,-0.06469355502983115,0.4054122269710859,0.1274868378661365,-0.39112008261744147,0.020712775386867652
WT_Max_Global,0.37940961708165166,0.38572923990840674,-0.13582213971436052,0.4480447602380983,0.46106161200799856,-0.14319579144059977,-0.14150287751342158,-0.11801153521091923,0.17779288030021634,0.17857033139490233,-0.0578952080050369,-0.14029644488288723,0.27680320905447753,-0.19926320077826162,0.7741681052934036,1.0,0.21430191548568547,0.49156268255231883,0.4684829483081262,0.39108954118460465,0.3068927985492741,0.492212218356942,0.14197557876335484,-0.3301369429476347,-0.2671793762872766,0.2270346314821309,0.12099378223580025,0.16543768998292374,0.6137132805921012,0.1502561432341986,0.21500537187923857,0.03373784418639293,0.030858208137149786,0.08059705286652083,0.022687450596058333,-0.09388022444014271,0.10797582006489297,0.028634975108784332,-0.06706901380882428,-0.04236883471966548,0.3094575533801216,0.1261367507077328,-0.2979723878993407,0.020508395329090604
age_at_MRI,0.1802835025195885,0.25589938980163923,-0.420138962859262,0.23047974130929003,0.31528167136558494,-0.40046704918098885,-0.13563398513672517,-0.016047667166018024,0.025740113457154105,-0.007035206049150861,0.11108067818638284,0.010735998534878131,-0.11279941953518696,0.023267114486692976,0.08953640992070681,0.21430191548568547,1.0,0.08779395790669964,-0.07142307569675069,-0.04276336120344658,-0.057127446411537865,-0.06796607168328647,-0.026015124548486614,-0.28990667430996725,-0.32279611743420156,0.23839071775085705,-0.14057018279561348,-0.09041937638072337,-0.0019379368392507693,-0.1455238075397845,-0.11893646511873367,-0.12525566312210268,-0.14089611115092412,0.05198781464581418,0.04174766537105741,-0.1508571863278913,0.09512402732644708,-0.008995754787428593,0.010584145355973108,0.09517004112002572,0.09105593928100977,0.20483464322705972,0.03429280676075816,0.08316110405680209
Sex,0.3757800985358613,0.35667425721710594,0.030564920370386925,0.5247399327167717,0.5146694767135781,-0.0037827701718225588,-0.07451779219739874,-0.24822679810331094,0.2343428207206906,0.33023060730245596,-0.31602723860497534,-0.27501830206914535,0.3584880195766963,-0.32408798675647493,0.6330489507017387,0.49156268255231883,0.08779395790669964,1.0,0.49385496452893896,0.7203604614940889,0.12329063748154605,0.5966971628945337,0.08670809697637401,-0.270322342141871,-0.17903226286618357,0.23109853608146358,0.3425721338497279,0.38102655297477256,0.6128434325511527,0.4257793553787771,0.48102490909454537,0.22855108319882125,0.1775482406451665,0.26528308093460484,0.18933847123646655,-0.042921013683403994,0.06006011405102551,0.020597129213294752,0.006959216259903723,-0.12246638784751024,0.6137327742374524,0.04914987104873128,-0.4299225705047418,-0.01884264145098322
Weight_at_MRI,0.3555457717575434,0.32184960551222175,0.05698335865040086,0.469737053174716,0.44723121821824696,0.009144222170717,-0.10156741979743826,-0.11844313449001,0.08120337288066498,0.2197155513213147,-0.16360568077891097,-0.16278561090450785,0.4695477335563742,-0.20731889442090012,0.621663428915935,0.4684829483081262,-0.07142307569675069,0.49385496452893896,1.0,0.5685913654096498,0.8343888944680254,0.9777926474531796,0.13427599872536505,-0.28220671380515283,-0.13450869186502604,0.1867128006387985,0.054375175385390745,0.12752712203491523,0.3320129543224774,0.09780049855920965,0.18097296983775538,-0.020576476905215788,-0.0410138311849447,-0.029448761460071516,-0.11537901043784707,-0.06382385016386825,0.06277770970045787,0.012007889775696825,-0.18816941500302795,-0.08500104813476726,0.3598639387700429,0.11193672556429472,-0.43637618443787746,0.01522381610274874
Height,0.3665818643677942,0.3432796328462029,0.057120380031888136,0.474806880250836,0.45562219485244004,0.04075172733523246,-0.08132758121384567,-0.22940229035022575,0.19414587869896155,0.26975412724852904,-0.2815177878623912,-0.24892690451500554,0.4197371048720958,-0.28051468043067307,0.5166075165020653,0.39108954118460465,-0.04276336120344658,0.7203604614940889,0.5685913654096498,1.0,0.029885805543555754,0.7238838434794036,0.05484033107720533,-0.18958658673527293,-0.10311521961498826,0.15946466477765134,0.3366092849159072,0.36019844212992524,0.48167375527329576,0.3999303934278274,0.4390239696609188,0.22794436489903117,0.18910820544908372,0.2709511947547824,0.21192809811510813,-0.04262461899095313,0.057385899988052665,0.018869242248504014,0.04393520877069107,-0.1299073876480182,0.46486850453114137,-0.004565579426442321,-0.3165189874468275,-0.05090830690585543
BMI,0.18691084572883346,0.16145610183209597,0.032434219039650415,0.25399833253577186,0.2385240302528222,-0.01320660003979313,-0.06851920707292829,0.007904324012937525,-0.03348660892143863,0.08682742173861346,-0.010911619934925905,-0.032552830180682814,0.2918741612082935,-0.0667382744202512,0.4090320838042288,0.3068927985492741,-0.057127446411537865,0.12329063748154605,0.8343888944680254,0.029885805543555754,1.0,0.7074375922182671,0.12708219546398206,-0.21401524193150398,-0.09070345252657251,0.11681263299936712,-0.1529334220747037,-0.08093360050483772,0.0831544210292983,-0.14141296376520682,-0.06697156848356434,-0.1721095889182393,-0.17128461025038327,-0.21136003164990436,-0.2767554294411462,-0.04938061445365493,0.036728318300588966,0.0009791550099639541,-0.255582776879855,-0.018404112523219395,0.12993529214007804,0.13844114939967297,-0.32297440900513485,0.05214611886308073
BSA,0.39012355787802977,0.3565391630944973,0.05981716728981129,0.5143159693210866,0.4907316016770621,0.016574798172158633,-0.10340419156117024,-0.15658053009096945,0.11350791061432808,0.25292308475396924,-0.20698912210645468,-0.19872445884847936,0.4969449918970074,-0.24431596930508537,0.6519284127786321,0.492212218356942,-0.06796607168328647,0.5966971628945337,0.9777926474531796,0.7238838434794036,0.7074375922182671,1.0,0.12803225049828498,-0.2861959221635651,-0.139174946747594,0.1960332013980073,0.1287774631123269,0.19643870323080953,0.3996526844388723,0.1817730771379091,0.2616154209982145,0.039247304443994324,0.01183315954111625,0.041300727154986554,-0.046148772704366334,-0.06391594306198843,0.06519004492715484,0.013654629472590414,-0.14910708950549706,-0.1018301347601866,0.42121804774896915,0.09185276307471037,-0.4490191008574126,0.003137748344195733
SBP_at_MRI,0.12577119898160988,0.1281777665014921,-0.06112712485801209,0.1180509179824808,0.12575162312059024,-0.06632950884760494,0.016326514278440514,0.0137982019672728,0.05689037891651522,0.06438326107291091,-0.018283237618409443,-0.046462805320000244,0.10303719581835177,-0.025945282379047543,0.16804985007445475,0.14197557876335484,-0.026015124548486614,0.08670809697637401,0.13427599872536505,0.05484033107720533,0.12708219546398206,0.12803225049828498,1.0,-0.1245341468247035,-0.12680203290165842,0.10414785374781362,-0.02375960998026071,0.010303408473507388,0.1039716214090845,-0.02176061216904521,-0.0017959810348178297,-0.03530679390581511,-0.050220532140561075,-0.039391403725734166,-0.04761154048812583,-0.03029883667880448,-0.015017748013537682,-0.025754224812176832,-0.03975303265257219,0.025288420843383126,0.05713457745101747,-0.0133501734887456,-0.06353638431449539,0.04057467925492113
circum_PDSR,-0.24311017348453814,-0.2825890503432238,0.2089557292788216,-0.28215471711879053,-0.34376343473380505,0.23149878902782392,0.041892764995633235,0.01971741447802868,-0.33353399957149726,-0.5450597413685022,0.32435479422929087,0.4014892469440332,-0.24572214228969577,0.29002859078188464,-0.3029539852933342,-0.3301369429476347,-0.28990667430996725,-0.270322342141871,-0.28220671380515283,-0.18958658673527293,-0.21401524193150398,-0.2861959221635651,-0.1245341468247035,1.0,0.6710952374278643,-0.8626175009646544,0.04170322597462638,-0.20718361300416124,-0.18212438033346606,0.13755320918166444,-0.05620618773966368,0.29322341160143717,0.28330207920174966,0.06205787721619616,0.109034861147716,0.2763507200506829,0.048866332398019394,0.17306598457579253,0.13020373982566613,-0.007716188475590606,-0.15716276485989994,-0.12894109892831496,0.19366400136487305,-0.052037882565237836
longit_PDSR,-0.1703195871596745,-0.2204700353254037,0.24294625540607348,-0.190167157372136,-0.2608480829504587,0.25731505235437724,0.02333405490366555,-0.0029562696140209106,-0.49966787166470406,-0.35050425960497916,0.20246612087211477,0.29442521649698905,-0.14796890371394172,0.20835596423884015,-0.23107104968892997,-0.2671793762872766,-0.32279611743420156,-0.17903226286618357,-0.13450869186502604,-0.10311521961498826,-0.09070345252657251,-0.139174946747594,-0.12680203290165842,0.6710952374278643,1.0,-0.6336542058702629,0.13898074435933888,-0.07948594156211927,-0.0946509534291067,0.17654722434270845,0.014050572018082698,0.28698816023821844,0.3135944307614922,0.08743300064327582,0.12282890997756368,0.3088975958384854,0.09464806279785544,0.2215393843445434,0.12229619396844331,-0.035105626293636845,-0.10691622868600469,-0.11928000361399833,0.12215469844649222,-0.06307510705546927
radial_PDSR,0.17079216583981932,0.20916360273780346,-0.17195181947420768,0.2001938711014989,0.26257751749537517,-0.199415304043474,-0.062089673100988195,-0.03694792241348518,0.3384758573581821,0.46695981091467736,-0.4672350060179366,-0.40877781658453305,0.1469641477246872,-0.2922627421336106,0.20443920977590843,0.2270346314821309,0.23839071775085705,0.23109853608146358,0.1867128006387985,0.15946466477765134,0.11681263299936712,0.1960332013980073,0.10414785374781362,-0.8626175009646544,-0.6336542058702629,1.0,-0.09249406451613064,0.17554768976675003,0.10703134001992647,-0.19807873151007516,0.01498390277147712,-0.35386737721179035,-0.335278410090309,-0.06909005584313035,-0.12551724038271095,-0.30652453955176406,-0.05306060111083033,-0.19116155858852485,-0.15315395457630748,0.0010063760076487425,0.13343309091557518,0.10999989203177396,-0.15842997117123622,0.03790571011422175
LVEDVi,0.2761451222834442,0.23454601529166483,0.09056733691588684,0.36016662383301706,0.2978217510554952,0.11394130614345352,-0.08736142558387038,-0.12761720246139857,0.07015767342693723,0.33597762467189884,-0.2783936028977758,-0.24453526744223453,0.40277185762353646,-0.1692099635237015,0.15984691650117916,0.12099378223580025,-0.14057018279561348,0.3425721338497279,0.054375175385390745,0.3366092849159072,-0.1529334220747037,0.1287774631123269,-0.02375960998026071,0.04170322597462638,0.13898074435933888,-0.09249406451613064,1.0,0.8261477329706786,0.6943875630374511,0.7996968618264809,0.6735185428789947,0.6676578133165314,0.8135475798730428,0.3999713726416563,0.4474873511421732,0.46176355263795865,0.2966934096869079,0.4400976657127795,0.3322543339267455,-0.1084926577712573,0.15508486172641717,-0.10437296484267868,-0.03829543496866217,-0.0920430314809937
LVESVi,0.2652955375204529,0.23838521694103842,0.0661171131147325,0.35438120097237524,0.3181618742144978,0.07163373230198962,-0.2044225408471085,-0.22002765483207232,0.30759290304211395,0.6434418773006092,-0.5450583541968661,-0.7306855763678153,0.14069946520330653,-0.43784492528446756,0.2513089364733405,0.16543768998292374,-0.09041937638072337,0.38102655297477256,0.12752712203491523,0.36019844212992524,-0.08093360050483772,0.19643870323080953,0.010303408473507388,-0.20718361300416124,-0.07948594156211927,0.17554768976675003,0.8261477329706786,1.0,0.6360589585278559,0.6243064777220361,0.6957374699605574,0.34504281744885174,0.3444631675586413,0.3883800755165169,0.3647175670612833,0.2192479128793429,0.30697131335545635,0.3255298445313005,0.18400222662989438,-0.1160524055776778,0.19701339536628595,-0.0528584063986951,-0.10354793604653649,-0.08530046758073173
